Resultados por comunidad aut󮯭a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Estudiantes de nuevo ingreso en Grado por tipo y modalidad de la universidad, sexo, zona de nacionalidad y rama de ense񡮺a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unidades: Nmero de estudiantes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Total;;;;;;;Ciencias Sociales y Jur_cas;;;;;;;Ingenier_y Arquitectura;;;;;;;Artes y Humanidades;;;;;;;Ciencias de la Salud;;;;;;;Ciencias;;;;;;
;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022
Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
        Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
            Ambos sexos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
                Resto de frica;152.0;154.0;209.0;213.0;204.0;199.0;241.0;71.0;69.0;75.0;94.0;96.0;89.0;104.0;53.0;55.0;97.0;87.0;86.0;74.0;103.0;12.0;13.0;21.0;21.0;9.0;21.0;19.0;8.0;11.0;11.0;7.0;10.0;9.0;12.0;8.0;6.0;5.0;4.0;3.0;6.0;3.0
                Asia y Ocean_976.0;967.0;1089.0;1183.0;1304.0;1304.0;1186.0;471.0;449.0;552.0;530.0;637.0;577.0;516.0;277.0;291.0;308.0;381.0;370.0;422.0;421.0;122.0;114.0;120.0;97.0;121.0;133.0;95.0;78.0;81.0;81.0;134.0;143.0;126.0;101.0;28.0;32.0;28.0;41.0;33.0;46.0;53.0;
            Mujeres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
                Total;150030.0;149211.0;149921.0;150154.0;153462.0;159585.0;159855.0;76763.0;76509.0;76697.0;75509.0;77563.0;80290.0;78154.0;12986.0;12644.0;12543.0;12773.0;13557.0;14380.0;15567.0;16351.0;16831.0;16933.0;17286.0;17173.0;17893.0;18168.0;34224.0;33667.0;34113.0;35085.0;35688.0;37380.0;38427.0;9706.0;9560.0;9635.0;9501.0;9481.0;9642.0;9539.0
                Espa񡻱41139.0;139770.0;139701.0;139389.0;141878.0;147732.0;147310.0;72594.0;72218.0;71996.0;70608.0;72122.0;74950.0;72526.0;12205.0;11696.0;11437.0;11630.0;12256.0;12910.0;13936.0;15228.0;15563.0;15649.0;15932.0;15825.0;16436.0;16730.0;31712.0;31042.0;31383.0;32097.0;32562.0;34206.0;34980.0;9400.0;9251.0;9236.0;9122.0;9113.0;9230.0;9138.0;
                Uni󮠅uropea;3921.0;4206.0;4440.0;4646.0;4684.0;4753.0;5021.0;1492.0;1584.0;1738.0;1770.0;1848.0;1864.0;1899.0;198.0;252.0;267.0;254.0;310.0;279.0;312.0;474.0;515.0;526.0;557.0;543.0;554.0;532.0;1631.0;1742.0;1764.0;1912.0;1847.0;1885.0;2136.0;126.0;113.0;145.0;153.0;136.0;171.0;142.0
                Resto de Europa;799.0;833.0;874.0;827.0;824.0;866.0;1014.0;401.0;423.0;450.0;429.0;412.0;445.0;493.0;61.0;71.0;93.0;86.0;81.0;88.0;102.0;140.0;148.0;142.0;120.0;115.0;121.0;147.0;160.0;151.0;149.0;155.0;180.0;185.0;235.0;37.0;40.0;40.0;37.0;36.0;27.0;37.0
                EEUU y Canadự02.0;101.0;144.0;161.0;165.0;166.0;195.0;46.0;48.0;58.0;88.0;103.0;92.0;120.0;8.0;4.0;6.0;12.0;10.0;9.0;16.0;28.0;28.0;42.0;26.0;15.0;26.0;21.0;17.0;17.0;34.0;34.0;35.0;34.0;32.0;3.0;4.0;4.0;1.0;2.0;5.0;6.0;
                Am鲩ca Latina y Caribe;2120.0;2203.0;2508.0;2682.0;3083.0;2919.0;3350.0;1200.0;1191.0;1328.0;1429.0;1706.0;1533.0;1787.0;245.0;275.0;390.0;386.0;436.0;426.0;448.0;215.0;279.0;277.0;308.0;321.0;356.0;416.0;379.0;373.0;407.0;458.0;528.0;502.0;577.0;81.0;85.0;106.0;101.0;92.0;102.0;122.0
                Norte de frica;734.0;864.0;865.0;1000.0;1243.0;1483.0;1408.0;293.0;376.0;359.0;410.0;503.0;540.0;518.0;130.0;177.0;152.0;216.0;277.0;427.0;476.0;114.0;107.0;110.0;112.0;116.0;146.0;122.0;164.0;168.0;188.0;218.0;304.0;326.0;251.0;33.0;36.0;56.0;44.0;43.0;44.0;41.0
                Resto de frica;186.0;197.0;236.0;218.0;253.0;248.0;271.0;126.0;104.0;125.0;123.0;173.0;150.0;162.0;19.0;40.0;50.0;39.0;28.0;38.0;53.0;14.0;20.0;22.0;17.0;14.0;13.0;23.0;24.0;27.0;31.0;34.0;36.0;36.0;29.0;3.0;6.0;8.0;5.0;2.0;11.0;4.0
                Asia y Ocean_1029.0;1037.0;1153.0;1231.0;1332.0;1418.0;1286.0;611.0;565.0;643.0;652.0;696.0;716.0;649.0;120.0;129.0;148.0;150.0;159.0;203.0;224.0;138.0;171.0;165.0;214.0;224.0;241.0;177.0;137.0;147.0;157.0;177.0;196.0;206.0;187.0;23.0;25.0;40.0;38.0;57.0;52.0;49.0;
        No Presencial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
            Ambos sexos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
                Total;69868.0;67174.0;65724.0;65233.0;67812.0;77628.0;63262.0;36080.0;33801.0;35559.0;32227.0;33086.0;38672.0;31163.0;5908.0;5613.0;5106.0;5642.0;5932.0;6159.0;5780.0;11586.0;11516.0;10213.0;11258.0;13013.0;13584.0;10017.0;12687.0;12763.0;11597.0;12299.0;11963.0;14950.0;12606.0;3607.0;3481.0;3249.0;3807.0;3818.0;4263.0;3696.0
                Espa񡻶6833.0;64230.0;62435.0;61628.0;63761.0;73178.0;58642.0;34437.0;32245.0;33750.0;30292.0;30901.0;36252.0;28715.0;5642.0;5364.0;4822.0;5280.0;5578.0;5758.0;5331.0;11152.0;11130.0;9857.0;10856.0;12480.0;13074.0;9467.0;12120.0;12138.0;10882.0;11553.0;11169.0;14023.0;11636.0;3482.0;3353.0;3124.0;3647.0;3633.0;4071.0;3493.0;
                Uni󮠅uropea;1159.0;1089.0;1191.0;1280.0;1400.0;1545.0;1316.0;583.0;511.0;620.0;627.0;676.0;726.0;610.0;89.0;88.0;96.0;117.0;111.0;130.0;109.0;208.0;195.0;172.0;179.0;238.0;239.0;194.0;220.0;241.0;262.0;298.0;316.0;378.0;331.0;59.0;54.0;41.0;59.0;59.0;72.0;72.0
                Resto de Europa;245.0;245.0;287.0;280.0;301.0;314.0;366.0;146.0;129.0;167.0;160.0;168.0;175.0;165.0;9.0;17.0;22.0;19.0;37.0;31.0;48.0;41.0;40.0;29.0;31.0;30.0;34.0;55.0;44.0;51.0;62.0;52.0;59.0;63.0;80.0;5.0;8.0;7.0;18.0;7.0;11.0;18.0
                EEUU y CanadỲ4.0;22.0;31.0;38.0;35.0;36.0;54.0;11.0;11.0;12.0;17.0;10.0;14.0;24.0;0.0;0.0;0.0;2.0;0.0;2.0;5.0;8.0;5.0;14.0;12.0;9.0;7.0;10.0;0.0;4.0;4.0;6.0;10.0;11.0;15.0;5.0;2.0;1.0;1.0;6.0;2.0;0.0;
                Am鲩ca Latina y Caribe;1277.0;1223.0;1428.0;1607.0;1843.0;2050.0;2370.0;697.0;666.0;784.0;886.0;1045.0;1203.0;1329.0;115.0;104.0;127.0;167.0;142.0;172.0;216.0;150.0;114.0;117.0;152.0;219.0;186.0;252.0;268.0;291.0;341.0;342.0;364.0;408.0;487.0;47.0;48.0;59.0;60.0;73.0;81.0;86.0
                Norte de frica;174.0;184.0;160.0;198.0;227.0;260.0;238.0;100.0;110.0;90.0;99.0;129.0;143.0;151.0;33.0;25.0;25.0;40.0;27.0;34.0;27.0;14.0;15.0;10.0;13.0;24.0;22.0;16.0;22.0;23.0;25.0;29.0;23.0;42.0;32.0;5.0;11.0;10.0;17.0;24.0;19.0;12.0
                Resto de frica;107.0;122.0;113.0;119.0;148.0;132.0;147.0;76.0;96.0;87.0;97.0;106.0;102.0;104.0;13.0;10.0;5.0;6.0;19.0;11.0;17.0;8.0;9.0;6.0;6.0;4.0;9.0;7.0;8.0;6.0;12.0;8.0;12.0;8.0;15.0;2.0;1.0;3.0;2.0;7.0;2.0;4.0
                Asia y Ocean_49.0;59.0;79.0;83.0;97.0;113.0;129.0;30.0;33.0;49.0;49.0;51.0;57.0;65.0;7.0;5.0;9.0;11.0;18.0;21.0;27.0;5.0;8.0;8.0;9.0;9.0;13.0;16.0;5.0;9.0;9.0;11.0;10.0;17.0;10.0;2.0;4.0;4.0;3.0;9.0;5.0;11.0;
            Hombres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
                Total;32466.0;30723.0;29529.0;30039.0;31740.0;33539.0;27305.0;15881.0;14488.0;14950.0;13738.0;14420.0;15713.0;12330.0;5152.0;4909.0;4378.0;4821.0;5058.0;5054.0;4730.0;5396.0;5346.0;4760.0;5422.0;6518.0;6318.0;4681.0;3708.0;3769.0;3350.0;3610.0;3243.0;3767.0;3293.0;2329.0;2211.0;2091.0;2448.0;2501.0;2687.0;2271.0
                Espa񡻳1407.0;29694.0;28404.0;28721.0;30209.0;32025.0;25548.0;15339.0;13997.0;14377.0;13107.0;13641.0;14945.0;11428.0;4947.0;4706.0;4163.0;4545.0;4793.0;4764.0;4403.0;5255.0;5220.0;4630.0;5257.0;6308.0;6149.0;4474.0;3599.0;3633.0;3210.0;3448.0;3075.0;3592.0;3081.0;2267.0;2138.0;2024.0;2364.0;2392.0;2575.0;2162.0;
                Uni󮠅uropea;385.0;357.0;375.0;454.0;473.0;473.0;421.0;187.0;132.0;177.0;184.0;215.0;199.0;178.0;65.0;75.0;72.0;93.0;81.0;97.0;83.0;64.0;54.0;54.0;65.0;75.0;68.0;55.0;41.0;66.0;47.0;77.0;62.0;73.0;65.0;28.0;30.0;25.0;35.0;40.0;36.0;40.0
                Resto de Europa;67.0;71.0;84.0;78.0;95.0;81.0;132.0;41.0;38.0;48.0;40.0;42.0;42.0;55.0;7.0;12.0;15.0;11.0;28.0;18.0;38.0;8.0;10.0;7.0;8.0;10.0;9.0;21.0;7.0;5.0;10.0;12.0;11.0;8.0;8.0;4.0;6.0;4.0;7.0;4.0;4.0;10.0
                EEUU y Canadỹ.0;6.0;12.0;14.0;18.0;16.0;27.0;4.0;3.0;4.0;6.0;5.0;5.0;9.0;0.0;0.0;0.0;1.0;0.0;2.0;4.0;3.0;1.0;6.0;2.0;4.0;3.0;6.0;0.0;1.0;2.0;5.0;5.0;4.0;8.0;2.0;1.0;0.0;0.0;4.0;2.0;0.0;
                Am鲩ca Latina y Caribe;420.0;420.0;470.0;574.0;700.0;711.0;963.0;196.0;205.0;227.0;284.0;370.0;394.0;534.0;94.0;84.0;96.0;125.0;109.0;121.0;153.0;55.0;48.0;51.0;78.0;103.0;69.0;108.0;52.0;56.0;65.0;57.0;76.0;75.0;118.0;23.0;27.0;31.0;30.0;42.0;52.0;50.0
                Norte de frica;81.0;77.0;78.0;88.0;105.0;120.0;91.0;43.0;40.0;40.0;34.0;54.0;57.0;59.0;23.0;21.0;22.0;33.0;20.0;30.0;18.0;6.0;6.0;6.0;4.0;12.0;11.0;4.0;5.0;5.0;7.0;8.0;7.0;9.0;8.0;4.0;5.0;3.0;9.0;12.0;13.0;2.0
                Resto de frica;74.0;79.0;80.0;77.0;95.0;77.0;76.0;53.0;63.0;62.0;65.0;71.0;56.0;49.0;12.0;8.0;5.0;5.0;15.0;8.0;15.0;5.0;5.0;4.0;4.0;3.0;7.0;7.0;3.0;2.0;7.0;2.0;3.0;4.0;2.0;1.0;1.0;2.0;1.0;3.0;2.0;3.0
                Asia y Ocean_23.0;19.0;26.0;33.0;45.0;36.0;47.0;18.0;10.0;15.0;18.0;22.0;15.0;18.0;4.0;3.0;5.0;8.0;12.0;14.0;16.0;0.0;2.0;2.0;4.0;3.0;2.0;6.0;1.0;1.0;2.0;1.0;4.0;2.0;3.0;0.0;3.0;2.0;2.0;4.0;3.0;4.0;
            Mujeres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
                Total;37402.0;36451.0;36195.0;35194.0;36072.0;44089.0;35957.0;20199.0;19313.0;20609.0;18489.0;18666.0;22959.0;18833.0;756.0;704.0;728.0;821.0;874.0;1105.0;1050.0;6190.0;6170.0;5453.0;5836.0;6495.0;7266.0;5336.0;8979.0;8994.0;8247.0;8689.0;8720.0;11183.0;9313.0;1278.0;1270.0;1158.0;1359.0;1317.0;1576.0;1425.0
                Espa񡻳5426.0;34536.0;34031.0;32907.0;33552.0;41153.0;33094.0;19098.0;18248.0;19373.0;17185.0;17260.0;21307.0;17287.0;695.0;658.0;659.0;735.0;785.0;994.0;928.0;5897.0;5910.0;5227.0;5599.0;6172.0;6925.0;4993.0;8521.0;8505.0;7672.0;8105.0;8094.0;10431.0;8555.0;1215.0;1215.0;1100.0;1283.0;1241.0;1496.0;1331.0;
                Uni󮠅uropea;774.0;732.0;816.0;826.0;927.0;1072.0;895.0;396.0;379.0;443.0;443.0;461.0;527.0;432.0;24.0;13.0;24.0;24.0;30.0;33.0;26.0;144.0;141.0;118.0;114.0;163.0;171.0;139.0;179.0;175.0;215.0;221.0;254.0;305.0;266.0;31.0;24.0;16.0;24.0;19.0;36.0;32.0
                Resto de Europa;178.0;174.0;203.0;202.0;206.0;233.0;234.0;105.0;91.0;119.0;120.0;126.0;133.0;110.0;2.0;5.0;7.0;8.0;9.0;13.0;10.0;33.0;30.0;22.0;23.0;20.0;25.0;34.0;37.0;46.0;52.0;40.0;48.0;55.0;72.0;1.0;2.0;3.0;11.0;3.0;7.0;8.0
                EEUU y Canadự5.0;16.0;19.0;24.0;17.0;20.0;27.0;7.0;8.0;8.0;11.0;5.0;9.0;15.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;5.0;4.0;8.0;10.0;5.0;4.0;4.0;0.0;3.0;2.0;1.0;5.0;7.0;7.0;3.0;1.0;1.0;1.0;2.0;0.0;0.0;
                Am鲩ca Latina y Caribe;857.0;803.0;958.0;1033.0;1143.0;1339.0;1407.0;501.0;461.0;557.0;602.0;675.0;809.0;795.0;21.0;20.0;31.0;42.0;33.0;51.0;63.0;95.0;66.0;66.0;74.0;116.0;117.0;144.0;216.0;235.0;276.0;285.0;288.0;333.0;369.0;24.0;21.0;28.0;30.0;31.0;29.0;36.0
                Norte de frica;93.0;107.0;82.0;110.0;122.0;140.0;147.0;57.0;70.0;50.0;65.0;75.0;86.0;92.0;10.0;4.0;3.0;7.0;7.0;4.0;9.0;8.0;9.0;4.0;9.0;12.0;11.0;12.0;17.0;18.0;18.0;21.0;16.0;33.0;24.0;1.0;6.0;7.0;8.0;12.0;6.0;10.0
                Resto de frica;33.0;43.0;33.0;42.0;53.0;55.0;71.0;23.0;33.0;25.0;32.0;35.0;46.0;55.0;1.0;2.0;0.0;1.0;4.0;3.0;2.0;3.0;4.0;2.0;2.0;1.0;2.0;0.0;5.0;4.0;5.0;6.0;9.0;4.0;13.0;1.0;0.0;1.0;1.0;4.0;0.0;1.0
                Asia y Ocean_26.0;40.0;53.0;50.0;52.0;77.0;82.0;12.0;23.0;34.0;31.0;29.0;42.0;47.0;3.0;2.0;4.0;3.0;6.0;7.0;11.0;5.0;6.0;6.0;5.0;6.0;11.0;10.0;4.0;8.0;7.0;10.0;6.0;15.0;7.0;2.0;1.0;2.0;1.0;5.0;2.0;7.0;
    Pblica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
        Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
            Ambos sexos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
                Total;291102.0;284540.0;278260.0;277232.0;278279.0;287142.0;270334.0;133318.0;130694.0;130109.0;126437.0;125848.0;129202.0;119586.0;55017.0;52716.0;50824.0;51379.0;51064.0;51713.0;51843.0;34853.0;34834.0;32763.0;33605.0;35392.0;36563.0;31987.0;46441.0;45089.0;43871.0;44702.0;44850.0;47896.0;46375.0;21473.0;21207.0;20693.0;21109.0;21125.0;21768.0;20543.0
                Espa񡻲77498.0;270599.0;263663.0;261878.0;261735.0;270348.0;253855.0;126837.0;124230.0;123244.0;119353.0;118282.0;121787.0;112315.0;52411.0;49917.0;47888.0;48190.0;47452.0;47863.0;47964.0;32982.0;32880.0;30863.0;31591.0;33301.0;34393.0;30021.0;44426.0;43004.0;41656.0;42385.0;42335.0;45317.0;43803.0;20842.0;20568.0;20012.0;20359.0;20365.0;20988.0;19752.0;
                Uni󮠅uropea;4903.0;5177.0;5336.0;5525.0;5648.0;5625.0;5296.0;2142.0;2242.0;2338.0;2396.0;2421.0;2394.0;2310.0;753.0;816.0;823.0;858.0;967.0;897.0;832.0;782.0;816.0;803.0;847.0;867.0;872.0;733.0;957.0;1048.0;1112.0;1129.0;1116.0;1151.0;1146.0;269.0;255.0;260.0;295.0;277.0;311.0;275.0
                Resto de Europa;1228.0;1284.0;1274.0;1216.0;1158.0;1212.0;1347.0;584.0;608.0;621.0;574.0;543.0;584.0;576.0;205.0;251.0;258.0;246.0;233.0;235.0;281.0;213.0;203.0;184.0;166.0;158.0;164.0;213.0;165.0;161.0;150.0;153.0;160.0;171.0;202.0;61.0;61.0;61.0;77.0;64.0;58.0;75.0
                EEUU y Canadự03.0;75.0;102.0;90.0;89.0;86.0;91.0;34.0;23.0;30.0;32.0;39.0;28.0;41.0;13.0;4.0;7.0;10.0;10.0;9.0;16.0;39.0;32.0;54.0;31.0;23.0;32.0;22.0;8.0;11.0;5.0;13.0;11.0;12.0;10.0;9.0;5.0;6.0;4.0;6.0;5.0;2.0;
                Am鲩ca Latina y Caribe;3868.0;3689.0;3956.0;4294.0;4703.0;4374.0;4613.0;1951.0;1777.0;1900.0;2074.0;2251.0;2040.0;2189.0;748.0;766.0;849.0;920.0;1029.0;913.0;922.0;427.0;428.0;418.0;486.0;515.0;528.0;541.0;568.0;538.0;592.0;607.0;701.0;684.0;718.0;174.0;180.0;197.0;207.0;207.0;209.0;243.0
                Norte de frica;1340.0;1508.0;1488.0;1658.0;2213.0;2732.0;2541.0;511.0;631.0;624.0;668.0;863.0;1000.0;909.0;426.0;465.0;437.0;529.0;737.0;1093.0;1084.0;148.0;159.0;145.0;152.0;181.0;217.0;181.0;200.0;188.0;206.0;229.0;333.0;339.0;290.0;55.0;65.0;76.0;80.0;99.0;83.0;77.0
                Resto de frica;384.0;413.0;459.0;464.0;498.0;466.0;533.0;243.0;237.0;249.0;272.0;310.0;287.0;305.0;81.0;94.0;131.0;117.0;111.0;108.0;148.0;25.0;36.0;37.0;37.0;23.0;25.0;36.0;24.0;33.0;31.0;30.0;42.0;30.0;33.0;11.0;13.0;11.0;8.0;12.0;16.0;11.0
                Asia y Ocean_1778.0;1795.0;1982.0;2107.0;2235.0;2299.0;2058.0;1016.0;946.0;1103.0;1068.0;1139.0;1082.0;941.0;380.0;403.0;431.0;509.0;525.0;595.0;596.0;237.0;280.0;259.0;295.0;324.0;332.0;240.0;93.0;106.0;119.0;156.0;152.0;192.0;173.0;52.0;60.0;70.0;79.0;95.0;98.0;108.0;
            Hombres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
                Total;134871.0;131043.0;126645.0;125792.0;125668.0;125637.0;117710.0;54974.0;53555.0;52957.0;50829.0;50444.0;50281.0;46554.0;42399.0;40540.0;38984.0;39293.0;38304.0;38114.0;37460.0;13776.0;13728.0;12649.0;13045.0;14225.0;14108.0;11788.0;12817.0;12406.0;11753.0;11991.0;11914.0;12091.0;11787.0;10905.0;10814.0;10302.0;10634.0;10781.0;11043.0;10121.0
                Espa񡻱29435.0;125411.0;120865.0;119538.0;118731.0;118885.0;110858.0;52772.0;51277.0;50543.0;48287.0;47627.0;47689.0;43798.0;40545.0;38603.0;36996.0;37113.0;35849.0;35614.0;34969.0;13229.0;13173.0;12087.0;12427.0;13560.0;13464.0;11210.0;12273.0;11837.0;11197.0;11406.0;11261.0;11427.0;11115.0;10616.0;10521.0;10042.0;10305.0;10434.0;10691.0;9766.0;
                Uni󮠅uropea;1779.0;1997.0;1937.0;2069.0;2158.0;2057.0;1964.0;636.0;735.0;723.0;776.0;794.0;733.0;779.0;547.0;585.0;582.0;625.0;675.0;633.0;569.0;198.0;211.0;209.0;233.0;248.0;226.0;165.0;278.0;341.0;317.0;312.0;312.0;340.0;335.0;120.0;125.0;106.0;123.0;129.0;125.0;116.0
                Resto de Europa;448.0;492.0;473.0;442.0;449.0;432.0;532.0;193.0;212.0;204.0;158.0;179.0;181.0;204.0;146.0;187.0;177.0;177.0;169.0;157.0;197.0;48.0;39.0;40.0;40.0;37.0;41.0;65.0;33.0;32.0;30.0;36.0;35.0;27.0;32.0;28.0;22.0;22.0;31.0;29.0;26.0;34.0
                EEUU y Canadỳ3.0;25.0;41.0;37.0;41.0;36.0;45.0;12.0;9.0;14.0;15.0;16.0;14.0;16.0;8.0;2.0;4.0;5.0;7.0;6.0;12.0;9.0;7.0;18.0;6.0;9.0;10.0;12.0;1.0;4.0;2.0;9.0;5.0;4.0;3.0;3.0;3.0;3.0;2.0;4.0;2.0;2.0;
                Am鲩ca Latina y Caribe;1515.0;1437.0;1507.0;1742.0;1925.0;1634.0;1923.0;614.0;575.0;619.0;741.0;799.0;644.0;853.0;531.0;533.0;549.0;603.0;680.0;557.0;599.0;152.0;131.0;147.0;190.0;195.0;172.0;182.0;138.0;120.0;114.0;113.0;152.0;155.0;175.0;80.0;78.0;78.0;95.0;99.0;106.0;114.0
                Norte de frica;588.0;627.0;635.0;690.0;1034.0;1302.0;1174.0;187.0;225.0;244.0;252.0;366.0;446.0;395.0;295.0;292.0;291.0;316.0;472.0;677.0;617.0;26.0;45.0;33.0;34.0;58.0;68.0;54.0;58.0;42.0;52.0;58.0;94.0;74.0;79.0;22.0;23.0;15.0;30.0;44.0;37.0;29.0
                Resto de frica;201.0;201.0;244.0;255.0;255.0;222.0;252.0;114.0;120.0;120.0;140.0;142.0;124.0;121.0;61.0;54.0;91.0;85.0;88.0;69.0;103.0;10.0;12.0;14.0;20.0;12.0;15.0;17.0;7.0;8.0;13.0;5.0;7.0;6.0;5.0;9.0;7.0;6.0;5.0;6.0;8.0;6.0
                Asia y Ocean_872.0;853.0;943.0;1019.0;1075.0;1069.0;962.0;446.0;402.0;490.0;460.0;521.0;450.0;388.0;266.0;284.0;294.0;369.0;364.0;401.0;394.0;104.0;110.0;101.0;95.0;106.0;112.0;83.0;29.0;22.0;28.0;52.0;48.0;58.0;43.0;27.0;35.0;30.0;43.0;36.0;48.0;54.0;
            Mujeres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
                Total;156231.0;153497.0;151615.0;151440.0;152611.0;161505.0;152624.0;78344.0;77139.0;77152.0;75608.0;75404.0;78921.0;73032.0;12618.0;12176.0;11840.0;12086.0;12760.0;13599.0;14383.0;21077.0;21106.0;20114.0;20560.0;21167.0;22455.0;20199.0;33624.0;32683.0;32118.0;32711.0;32936.0;35805.0;34588.0;10568.0;10393.0;10391.0;10475.0;10344.0;10725.0;10422.0
                Espa񡻱48063.0;145188.0;142798.0;142340.0;143004.0;151463.0;142997.0;74065.0;72953.0;72701.0;71066.0;70655.0;74098.0;68517.0;11866.0;11314.0;10892.0;11077.0;11603.0;12249.0;12995.0;19753.0;19707.0;18776.0;19164.0;19741.0;20929.0;18811.0;32153.0;31167.0;30459.0;30979.0;31074.0;33890.0;32688.0;10226.0;10047.0;9970.0;10054.0;9931.0;10297.0;9986.0;
                Uni󮠅uropea;3124.0;3180.0;3399.0;3456.0;3490.0;3568.0;3332.0;1506.0;1507.0;1615.0;1620.0;1627.0;1661.0;1531.0;206.0;231.0;241.0;233.0;292.0;264.0;263.0;584.0;605.0;594.0;614.0;619.0;646.0;568.0;679.0;707.0;795.0;817.0;804.0;811.0;811.0;149.0;130.0;154.0;172.0;148.0;186.0;159.0
                Resto de Europa;780.0;792.0;801.0;774.0;709.0;780.0;815.0;391.0;396.0;417.0;416.0;364.0;403.0;372.0;59.0;64.0;81.0;69.0;64.0;78.0;84.0;165.0;164.0;144.0;126.0;121.0;123.0;148.0;132.0;129.0;120.0;117.0;125.0;144.0;170.0;33.0;39.0;39.0;46.0;35.0;32.0;41.0
                EEUU y Canadỷ0.0;50.0;61.0;53.0;48.0;50.0;46.0;22.0;14.0;16.0;17.0;23.0;14.0;25.0;5.0;2.0;3.0;5.0;3.0;3.0;4.0;30.0;25.0;36.0;25.0;14.0;22.0;10.0;7.0;7.0;3.0;4.0;6.0;8.0;7.0;6.0;2.0;3.0;2.0;2.0;3.0;0.0;
                Am鲩ca Latina y Caribe;2353.0;2252.0;2449.0;2552.0;2778.0;2740.0;2690.0;1337.0;1202.0;1281.0;1333.0;1452.0;1396.0;1336.0;217.0;233.0;300.0;317.0;349.0;356.0;323.0;275.0;297.0;271.0;296.0;320.0;356.0;359.0;430.0;418.0;478.0;494.0;549.0;529.0;543.0;94.0;102.0;119.0;112.0;108.0;103.0;129.0
                Norte de frica;752.0;881.0;853.0;968.0;1179.0;1430.0;1367.0;324.0;406.0;380.0;416.0;497.0;554.0;514.0;131.0;173.0;146.0;213.0;265.0;416.0;467.0;122.0;114.0;112.0;118.0;123.0;149.0;127.0;142.0;146.0;154.0;171.0;239.0;265.0;211.0;33.0;42.0;61.0;50.0;55.0;46.0;48.0
                Resto de frica;183.0;212.0;215.0;209.0;243.0;244.0;281.0;129.0;117.0;129.0;132.0;168.0;163.0;184.0;20.0;40.0;40.0;32.0;23.0;39.0;45.0;15.0;24.0;23.0;17.0;11.0;10.0;19.0;17.0;25.0;18.0;25.0;35.0;24.0;28.0;2.0;6.0;5.0;3.0;6.0;8.0;5.0
                Asia y Ocean_906.0;942.0;1039.0;1088.0;1160.0;1230.0;1096.0;570.0;544.0;613.0;608.0;618.0;632.0;553.0;114.0;119.0;137.0;140.0;161.0;194.0;202.0;133.0;170.0;158.0;200.0;218.0;220.0;157.0;64.0;84.0;91.0;104.0;104.0;134.0;130.0;25.0;25.0;40.0;36.0;59.0;50.0;54.0;
        Presencial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
            Ambos sexos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
                Total;237884.0;235807.0;232205.0;231754.0;230509.0;233937.0;230891.0;108673.0;108693.0;107057.0;105943.0;104506.0;106042.0;103792.0;50883.0;48952.0;47730.0;48010.0;48114.0;48510.0;49205.0;24408.0;25097.0;24526.0;24707.0;24664.0;25690.0;24640.0;36054.0;35339.0;35448.0;35792.0;35918.0;36190.0;36256.0;17866.0;17726.0;17444.0;17302.0;17307.0;17505.0;16998.0
