Resultados por comunidad aut󮯭a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Estudiantes de nuevo ingreso en Grado por tipo y modalidad de la universidad, sexo, zona de nacionalidad y rama de ense񡮺a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unidades: Nmero de estudiantes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Total;;;;;;;Ciencias Sociales y Jur_cas;;;;;;;Ingenier_y Arquitectura;;;;;;;Artes y Humanidades;;;;;;;Ciencias de la Salud;;;;;;;Ciencias;;;;;;
;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022
Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
        Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
            Ambos sexos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
                Uni󮠅uropea;4695.0;4938.0;5256.0;5472.0;5611.0;5825.0;5916.0;1888.0;1963.0;2181.0;2213.0;2309.0;2391.0;2331.0;222.0;265.0;291.0;278.0;340.0;312.0;338.0;618.0;656.0;644.0;671.0;706.0;725.0;671.0;1810.0;1917.0;1979.0;2133.0;2101.0;2190.0;2402.0;157.0;137.0;161.0;177.0;155.0;207.0;174.0
                Resto de Europa;977.0;1007.0;1077.0;1029.0;1030.0;1099.0;1248.0;506.0;514.0;569.0;549.0;538.0;578.0;603.0;63.0;76.0;100.0;94.0;90.0;101.0;112.0;173.0;178.0;164.0;143.0;135.0;146.0;181.0;197.0;197.0;201.0;195.0;228.0;240.0;307.0;38.0;42.0;43.0;48.0;39.0;34.0;45.0
                EEUU y Canadự17.0;117.0;163.0;185.0;182.0;186.0;222.0;53.0;56.0;66.0;99.0;108.0;101.0;135.0;8.0;4.0;6.0;13.0;10.0;9.0;17.0;33.0;32.0;50.0;36.0;20.0;30.0;25.0;17.0;20.0;36.0;35.0;40.0;41.0;39.0;6.0;5.0;5.0;2.0;4.0;5.0;6.0;
                Am鲩ca Latina y Caribe;2977.0;3006.0;3466.0;3715.0;4226.0;4258.0;4757.0;1701.0;1652.0;1885.0;2031.0;2381.0;2342.0;2582.0;266.0;295.0;421.0;428.0;469.0;477.0;511.0;310.0;345.0;343.0;382.0;437.0;473.0;560.0;595.0;608.0;683.0;743.0;816.0;835.0;946.0;105.0;106.0;134.0;131.0;123.0;131.0;158.0
                Norte de frica;827.0;971.0;947.0;1110.0;1365.0;1623.0;1555.0;350.0;446.0;409.0;475.0;578.0;626.0;610.0;140.0;181.0;155.0;223.0;284.0;431.0;485.0;122.0;116.0;114.0;121.0;128.0;157.0;134.0;181.0;186.0;206.0;239.0;320.0;359.0;275.0;34.0;42.0;63.0;52.0;55.0;50.0;51.0
                Resto de frica;219.0;240.0;269.0;260.0;306.0;303.0;342.0;149.0;137.0;150.0;155.0;208.0;196.0;217.0;20.0;42.0;50.0;40.0;32.0;41.0;55.0;17.0;24.0;24.0;19.0;15.0;15.0;23.0;29.0;31.0;36.0;40.0;45.0;40.0;42.0;4.0;6.0;9.0;6.0;6.0;11.0;5.0
                Asia y Ocean_1055.0;1077.0;1206.0;1281.0;1384.0;1495.0;1368.0;623.0;588.0;677.0;683.0;725.0;758.0;696.0;123.0;131.0;152.0;153.0;165.0;210.0;235.0;143.0;177.0;171.0;219.0;230.0;252.0;187.0;141.0;155.0;164.0;187.0;202.0;221.0;194.0;25.0;26.0;42.0;39.0;62.0;54.0;56.0;
        Presencial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
            Ambos sexos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
                Total;275967.0;273814.0;271381.0;271822.0;274183.0;280829.0;281846.0;128296.0;128323.0;127117.0;125537.0;127133.0;130272.0;128824.0;54392.0;52522.0;51768.0;52508.0;52576.0;53018.0;54676.0;25907.0;26676.0;26449.0;26734.0;26600.0;27358.0;27255.0;48774.0;47805.0;47931.0;49096.0;49780.0;51825.0;53187.0;18598.0;18488.0;18116.0;17947.0;18094.0;18356.0;17904.0
                Espa񡻲60483.0;257261.0;253666.0;252967.0;253653.0;260252.0;259980.0;121674.0;121282.0;119406.0;117362.0;117974.0;121469.0;119296.0;51756.0;49629.0;48569.0;49101.0;48675.0;48941.0;50342.0;24263.0;24897.0;24581.0;24805.0;24652.0;25236.0;25213.0;44742.0;43508.0;43605.0;44392.0;44893.0;46909.0;47912.0;18048.0;17945.0;17505.0;17307.0;17459.0;17697.0;17217.0;
                Uni󮠅uropea;6651.0;7438.0;7592.0;7962.0;8147.0;8024.0;8459.0;2287.0;2640.0;2801.0;2892.0;3067.0;2975.0;3166.0;725.0;815.0;842.0;868.0;993.0;902.0;912.0;627.0;693.0;712.0;758.0;750.0;741.0;694.0;2789.0;3076.0;3005.0;3200.0;3105.0;3143.0;3462.0;223.0;214.0;232.0;244.0;232.0;263.0;225.0
                Resto de Europa;1323.0;1383.0;1420.0;1342.0;1373.0;1402.0;1704.0;652.0;682.0;693.0;642.0;667.0;700.0;804.0;217.0;257.0;284.0;277.0;265.0;255.0;314.0;185.0;186.0;183.0;159.0;145.0;163.0;208.0;206.0;202.0;200.0;202.0;234.0;235.0;315.0;63.0;56.0;60.0;62.0;62.0;49.0;63.0
                EEUU y Canadự69.0;159.0;238.0;273.0;295.0;295.0;324.0;83.0;78.0;108.0;158.0;192.0;175.0;191.0;17.0;8.0;12.0;24.0;23.0;23.0;39.0;38.0;39.0;60.0;36.0;23.0;39.0;36.0;26.0;28.0;50.0;52.0;51.0;53.0;46.0;5.0;6.0;8.0;3.0;6.0;5.0;12.0;
                Am鲩ca Latina y Caribe;3682.0;3720.0;4258.0;4717.0;5340.0;4885.0;5738.0;1849.0;1849.0;2103.0;2401.0;2769.0;2433.0;2993.0;788.0;838.0;1022.0;1058.0;1219.0;1065.0;1165.0;373.0;397.0;447.0;484.0;499.0;564.0;616.0;526.0;493.0;525.0;597.0;690.0;664.0;757.0;146.0;143.0;161.0;177.0;163.0;159.0;207.0
                Norte de frica;1316.0;1498.0;1520.0;1716.0;2282.0;2802.0;2657.0;472.0;605.0;611.0;683.0;862.0;988.0;943.0;420.0;460.0;436.0;523.0;758.0;1095.0;1103.0;135.0;146.0;138.0;143.0;163.0;207.0;174.0;238.0;232.0;266.0;301.0;422.0;444.0;366.0;51.0;55.0;69.0;66.0;77.0;68.0;71.0
